param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12
0.8578188011413663,0.2364484428161047,0.06269373377888916,0.13742049007181306,0.3046223984055118,0.7703187995580975,0.3197858015276743,0.7034301292801146,0.13593163234995084,0.1051296630356987,0.7860804263131784,0.9166186090268397
0.8019214274141152,0.2496619445069452,0.6159580897526302,0.7495138982949147,0.23642377332681574,0.828079362834497,0.6131475785359737,0.3458822198652109,0.37924839330517984,0.48416678384101297,0.6147572729714054,0.6037239746995516
0.21588796249350983,0.5509793803575304,0.9759862452834955,0.4721118430092803,0.27190748699218087,0.9748781547047258,0.0727932835176883,0.3407948823690684,0.7696479823673361,0.7340274248309916,0.24493896397122578,0.9707262343909782
0.9641820040245368,0.9447607245356875,0.5581323655701544,0.16011093314472902,0.33442741107061047,0.15854718931712108,0.44986188535217203,0.8676576411845501,0.18615132459864037,0.17073380233874128,0.6727901147885881,0.6527998128528355
0.10671828324205072,0.6792192685335283,0.22226706506128263,0.4171933968194886,0.882958722341719,0.6693041728787801,0.014817972924582087,0.0783042145070582,0.24397996748109804,0.6875571913207276,0.7703447845277707,0.7460056482623546
0.40133723036573005,0.45081048328989703,0.6267621232981868,0.059116170922987016,0.2783438291733634,0.020122182833254364,0.7177274502118339,0.4612059843947959,0.8872777183370761,0.3092158846240186,0.7605492135611399,0.8752978556875041
0.7252022725385171,0.18987627426685946,0.21110954293357204,0.638054217558243,0.10595201082957593,0.29575254455457284,0.626001001518029,0.47524325195707423,0.3104118336754704,0.652590333142861,0.6894737763473399,0.9916501898979841
0.2041449280458222,0.20532893763665605,0.2030715383844135,0.8797800812247234,0.510644502260877,0.5520181549510508,0.9357990998031406,0.8052831804417282,0.3308297921685396,0.3069054742879645,0.2936784885006381,0.3905982144562958
0.5413845620468931,0.8411848726584837,0.2382299969599699,0.5577713433654778,0.0210154026812506,0.8944272406691061,0.5287048940650941,0.11555318604940525,0.7607995819465744,0.7833166166744638,0.27772250734806886,0.7510023112081623
0.9331870406916726,0.9844358806237755,0.29507545079477554,0.6207200870740722,0.49811212953707523,0.11682101495383845,0.06098807460376103,0.1566503902826047,0.5503332733491727,0.8948563684936898,0.9683438897146739,0.9439832495399622
0.6119423120758439,0.11809691397717867,0.8066687966965294,0.042818191261238446,0.7187865200093135,0.49547007971115886,0.2758301244185106,0.4006373897419191,0.5323389843587256,0.9697128252343173,0.7337589623347438,0.5403686246796086
0.0045734458660610395,0.5974513154280761,0.07872604482181356,0.39936088389907637,0.04156978198382688,0.4851905318167915,0.8281657825315502,0.43534918086834573,0.4642813905700835,0.7660774305964148,0.9381465840836946,0.3559210700226862
0.7748759056611428,0.3700495193497357,0.12981023823836807,0.7379837603054772,0.6204030764908166,0.5906856972659926,0.19147912616453705,0.5278008522199991,0.9803685264827484,0.4376833022802499,0.026753188008948676,0.9213165616717469
0.18137771044839138,0.8022392419063071,0.07357450024347803,0.597587131329204,0.2649699289543111,0.4494652673351399,0.18301613648789355,0.6148264952775153,0.28442546026012716,0.11546502785327176,0.10843095070154168,0.0044074576646075374
0.5428256058429051,0.9826012579417632,0.5270640418541026,0.10766235511453895,0.8226688821042063,0.7330767155976473,0.8663757914434831,0.4186534440077005,0.34425317354983176,0.9478302708431662,0.49457866910040443,0.43177544886039554
0.11506099132270843,0.545224203001759,0.7226615755166997,0.9008352786452011,0.7148189680608037,0.7368219738630836,0.4036688646069124,0.7251125725552227,0.49527486838567647,0.6376443840293006,0.9895878054452701,0.15179589730927964
